codend 	logradouro	bairro 	numero	complemento 	cidade	estado // está linha não precisa inserir no banco
45	Rua 15	Limão	220	Sla 515	Luxuria	RJ
34	Rua do Terror 	Passa fundo	100	5º andar	Ipanema	RJ
12	Av 21	Viradouro	45	Terreo	Rio das Ostras	RJ
42	Av 21	Viradouro	45	1º andar	Rio das Ostras	RJ
9	Rua 15	Limão	220	Sla 517	Luxuria	RJ
10	Av 21	Viradouro	45	15º andar	Rio das Ostras	RJ
99	Viela Sábia	Vianinha	55	Sla 202	Nova Lima	MG
67	Rua Papel	Ermelinda	67	9º andar	Nova Lima	MG
88	Rua João Carlos	Horto	1130	Pilotis	Belo Horizonte	MG
89	Rua João Carlos	Horto	1130	Terreo	Belo Horizonte	MG
44	Viela Sábia	Vianinha	55	Sla 304	Nova Lima	MG
11	Rua João Carlos	Horto	1130	10º andar	Belo Horizonte	MG
1	Rua Figueiredo	Paqueta	1000	Sla 101	São Paulo	SP
2	Rua Neves	Palmeiras	22	9º andar	Lagoinha	SP
6	Rua Ribeiro de Abreu	Cruzeiro	5001	Terreo	Serra	SP
90	Rua Ribeiro de Abreu	Cruzeiro	5001	6º andar	Serra	SP
78	Rua Figueiredo	Paqueta	1000	Sla 908	São Paulo	SP
77	Rua Ribeiro de Abreu	Cruzeiro	5001	8º andar	Serra	SP
