codend	cod	id	descricao	estado	lado1	lado2	capaciPe	janelas	local	banheiro	estac	ar
45	1	45	Sala para uso como consultório Médico	RJ	3	3	3	true	Rua 15,220-sla 515	true	false	true
34	2	34	Sala para reuniões	RJ	15	15	10	false	Rua do Terror,100-5ºandar	true	true	true
12	3	12	Auditório	RJ	2000	2000	250	false	Av 21, 45 - Terreo	true	false	true
42	4	42	Sala para aplicaçao de testes	RJ	200	250	40	false	Av 21, 45 - 1ºandar	true	false	true
9	5	9	Salas para usos em terapias e afins	RJ	3	3	3	true	Rua 15,220 -sla 517	true	false	false
10	6	10	Escritórios	RJ	1000	2000	100	false	Av 21, 45 - 7ºandar	true	false	true
99	7	45	Sala para uso como consultório Médico	MG	3	3	3	true	Viela Sábia,55-sla202	true	false	false
67	8	34	Sala para reuniões	MG	15	15	10	false	Rua Papel, 67-9ºandar	true	true	true
88	9	12	Auditório	MG	2000	2000	250	false	Rua João Carlos,1130-Pilotis	true	false	true
89	10	42	Sala para aplicaçao de testes	MG	200	250	40	false	Rua João Carlos,1130-Terreo	true	false	true
44	11	9	Salas para usos em terapias e afins	MG	3	3	3	true	Viela Sábia,55-Sla 304	true	false	false
11	12	10	Escritórios	MG	1000	2000	100	false	Rua João Carlos,1130-10º andar	true	false	true
1	13	45	Sala para uso como consultório Médico	SP	3	3	3	true	Rua Figueiredo,1000-Sla 101	true	false	false
2	14	34	Sala para reuniões	SP	15	15	10	false	Rua Neves,22-9º andar	true	true	true
6	15	12	Auditório	SP	2000	2000	250	false	Rua Ribeiro de Abreu,5001-Terreo	true	false	true
90	16	42	Sala para aplicaçao de testes	SP	200	250	40	false	Rua Ribeiro de Abreu,5001-6º andar	true	false	true
78	17	9	Salas para usos em terapias e afins	SP	3	3	3	true	Rua Figueiredo,1000-Sla 908	true	false	false
77	18	10	Escritórios	SP	1000	2000	100	false	Rua Ribeiro de Abreu-5001-8º andar	true	false	true
